dataset,portfolio,model,alpha,seed,test_loss,coverage_rate,coverage_error,avg_exceedance_loss,mean_var,mean_es,uc_stat,uc_p_value,cc_stat,cc_p_value,n_train,n_val,n_test,n_total,date_start,date_end,var_perm_mean_drift,var_perm_max_drift,es_perm_mean_drift,es_perm_max_drift,n_perm,run_dir
industry12,equal_weight,flatten_mlp,0.01,1024.0,0.00036244160773623717,0.01834862385321101,0.00834862385321101,0.00604375870898366,-0.02264508046209812,-0.026667818427085876,44.32129831699558,2.7866819962696354e-11,63.201103030985905,1.887379141862766e-14,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.006502391770482063,0.19133512675762177,0.006888446863740683,0.19133412837982178,100.0,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.01__seed_1024
industry12,equal_weight,flatten_mlp,0.01,123.0,0.0003749842244147244,0.024337410805300712,0.014337410805300712,0.005971607752144337,-0.019903985783457756,-0.02277190610766411,116.35957688351323,0.0,180.57468648793292,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.0060315788723528385,0.35346245765686035,0.006359445862472057,0.35341060161590576,100.0,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.01__seed_123
industry12,equal_weight,flatten_mlp,0.01,42.0,0.0003352509309546253,0.013634046890927625,0.0036340468909276252,0.005564720369875431,-0.0234011672437191,-0.026266278699040413,9.401612358938337,0.002167947078261623,41.084866920076365,1.1982143055533356e-09,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.00452450243756175,0.15785959362983704,0.004865915514528751,0.1578080654144287,100.0,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.01__seed_42
industry12,equal_weight,flatten_mlp,0.01,456.0,0.0003661995264695612,0.018858307849133536,0.008858307849133535,0.006696396041661501,-0.02054417133331299,-0.02351074106991291,49.35697744926961,2.1337376310270884e-12,81.31581369483115,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.004061331041157246,0.24685800075531006,0.00486783729866147,0.24237419664859772,100.0,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.01__seed_456
industry12,equal_weight,flatten_mlp,0.01,789.0,0.0003464607033920337,0.014780835881753314,0.004780835881753313,0.005647276993840933,-0.023360151797533035,-0.02671004645526409,15.794640415434515,7.060222072197142e-05,39.67615363985669,2.423442446719548e-09,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.00587615417316556,0.2138257622718811,0.006990945432335138,0.2111665904521942,100.0,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.01__seed_789
industry12,equal_weight,flatten_mlp,0.05,1024.0,0.0011132823958519228,0.08906727828746178,0.039067278287461774,0.005430115386843681,-0.01158810406923294,-0.015322110615670681,206.74681061434785,0.0,261.7708609533893,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.004056430887430906,0.050175637006759644,0.005090160295367241,0.08472716808319092,100.0,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.05__seed_1024
industry12,equal_weight,flatten_mlp,0.05,123.0,0.001110171221296809,0.08906727828746178,0.039067278287461774,0.005526256747543812,-0.011303887702524662,-0.014453981071710587,206.74681061434785,0.0,242.88030218065342,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.0031654590275138617,0.05616559833288193,0.004219334106892347,0.07544809579849243,100.0,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.05__seed_123
industry12,equal_weight,flatten_mlp,0.05,42.0,0.0010846615154851535,0.06243628950050968,0.012436289500509679,0.005757091101258993,-0.013492625206708908,-0.017515413463115692,23.76446727005441,1.088739238319647e-06,60.386750946829125,7.716050021144838e-14,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.0037382827140390873,0.06092739477753639,0.0049376171082258224,0.17660772800445557,100.0,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.05__seed_42
industry12,equal_weight,flatten_mlp,0.05,456.0,0.0011127318843494754,0.077217125382263,0.027217125382262994,0.005762982182204723,-0.012317598797380924,-0.016770053654909134,105.71193770388072,0.0,194.14465438137813,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.004165187012404203,0.08950812369585037,0.0056435419246554375,0.10894159972667694,100.0,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.05__seed_456
industry12,equal_weight,flatten_mlp,0.05,789.0,0.001102942774602982,0.06893476044852191,0.01893476044852191,0.005971956066787243,-0.012658555991947651,-0.015666337683796883,53.2525014891894,2.9332092310596636e-13,92.31402140259661,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.003661802038550377,0.05967563018202782,0.004519362933933735,0.15859557688236237,100.0,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.05__seed_789
industry12,equal_weight,historical_sim,0.01,,,0.015306122448979591,0.005306122448979591,0.010674831944444442,-0.031587376551870744,-0.03642669430272109,9.591819726236963,0.001954461494417914,27.16739042737879,1.260886877352263e-06,,,3920,26130,,,,,,,,artifacts\industry12__equal_weight__historical_sim__alpha_0.01
industry12,equal_weight,historical_sim,0.05,,,0.052551020408163264,0.002551020408163261,0.009120827265372168,-0.017526311224489794,-0.025485778435000366,0.5286188529053106,0.46718810181744264,22.585673796643277,1.2461870963154098e-05,,,3920,26130,,,,,,,,artifacts\industry12__equal_weight__historical_sim__alpha_0.05
